         31597940 function calls (31260790 primitive calls) in 91.931 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.003    0.000 __init__.py:979(_convert)
       11    0.000    0.000    0.000    0.000 allocation.py:119(set_capacity)
      834    0.002    0.000    0.003    0.000 allocation.py:132(alloc)
      696    0.005    0.000    0.005    0.000 allocation.py:268(dealloc)
   136259    0.086    0.000    0.086    0.000 allocation.py:324(get_allocated_regions)
       11    0.000    0.000    0.000    0.000 allocation.py:85(__init__)
       39    0.000    0.000    0.000    0.000 allocation.py:90(__init__)
     8394    0.031    0.000    0.040    0.000 as_movieclip.py:29(alloc_drawable)
     8394    0.016    0.000    0.081    0.000 as_movieclip.py:39(add_drawable)
     8887    0.024    0.000    0.055    0.000 as_movieclip.py:44(remove_drawable)
91752/3611    0.568    0.000    3.947    0.001 as_movieclip.py:55(advance)
       60    0.001    0.000    0.001    0.000 as_movieclip.py:6(__init__)
        1    0.000    0.000    0.000    0.000 as_movieclip.py:75(play)
        7    0.000    0.000    0.000    0.000 as_movieclip.py:78(stop)
4439/1136    0.027    0.000    0.098    0.000 as_movieclip.py:81(clear)
      697    0.008    0.000    0.047    0.000 base.py:109(get_grapheme_clusters)
       11    0.000    0.000    0.000    0.000 base.py:159(set_bearings)
       11    0.000    0.000    0.006    0.001 base.py:222(fit)
        5    0.000    0.000    0.000    0.000 base.py:251(__init__)
       11    0.000    0.000    0.007    0.001 base.py:318(create_glyph)
      697    0.008    0.000    0.068    0.000 base.py:356(get_glyphs)
     2786    0.004    0.000    0.004    0.000 base.py:57(<lambda>)
     5572    0.002    0.000    0.002    0.000 base.py:62(<lambda>)
     2786    0.007    0.000    0.018    0.000 base.py:64(<lambda>)
     2786    0.002    0.000    0.002    0.000 base.py:66(<lambda>)
     2786    0.001    0.000    0.001    0.000 base.py:67(<lambda>)
     2786    0.012    0.000    0.038    0.000 base.py:69(_grapheme_break)
     3689    0.164    0.000   89.850    0.024 clock.py:253(tick)
    10851    0.003    0.000    0.003    0.000 clock.py:333(<lambda>)
     3689    0.028    0.000    0.042    0.000 clock.py:364(get_sleep_time)
      351    0.001    0.000    0.001    0.000 clock.py:442(get_fps)
       16    0.000    0.000    0.000    0.000 clock.py:557(_get_soft_next_ts)
       23    0.000    0.000    0.000    0.000 clock.py:558(taken)
     3689    0.009    0.000   89.859    0.024 clock.py:681(tick)
     3689    0.010    0.000    0.053    0.000 clock.py:702(get_sleep_time)
      351    0.007    0.000    0.493    0.001 clock.py:893(update_text)
     3611    0.010    0.000    1.524    0.000 clock.py:898(draw)
